brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
Uro-Mp,Meth/Meblue/Sod Phos/Psal/Hyos,Overall,4286.67,2106.0,35,,2.0354558405,US,Medicare Part D
Urocit-K,Potassium Citrate,Overall,112862.14,47154.0,304,86.0,2.4272425033,US,Medicare Part D
Urogesic-Blue,Methenam/Sod Phos/Mblue/Hyoscy,Overall,122709.18,24988.0,418,175.0,4.9107243477,US,Medicare Part D
Uroxatral,Alfuzosin HCl,Overall,1932242.99,72921.0,1151,274.0,26.49775771,US,Medicare Part D
Urso,Ursodiol,Overall,157114.8,28168.0,151,26.0,5.5777761999,US,Medicare Part D
Urso Forte,Ursodiol,Overall,391796.88,39332.0,304,72.0,9.9612752975,US,Medicare Part D
Ursodiol,Ursodiol,Overall,97745976.38,61904329.5,444215,102032.0,1.6679594551,US,Medicare Part D
Uzedy,Risperidone,Overall,9765799.43,1059.9,3121,1164.0,9214.1937723,US,Medicare Part D
V-Go 20,"Sub-Q Insulin Device, 20 Unit",Overall,8374775.54,484346.0,11584,2765.0,17.290894402,US,Medicare Part D
V-Go 30,"Sub-Q Insulin Device, 30 Unit",Overall,7673521.87,442497.0,10614,2482.0,17.34140993,US,Medicare Part D
V-Go 40,"Sub-Q Insulin Device, 40 Unit",Overall,9951414.34,574514.0,13375,2827.0,17.321447937,US,Medicare Part D
Vabomere,Meropenem/Vaborbactam,Overall,1560271.21,89434.6,530,120.0,17.445946088,US,Medicare Part D
Vabysmo,Faricimab-Svoa,Overall,14996147.66,321.1,5267,1262.0,46702.421862,US,Medicare Part D
Vagifem,Estradiol,Overall,3277769.95,154964.0,7961,2346.0,21.151815583,US,Medicare Part D
Valacyclovir,Valacyclovir HCl,Overall,121564609.66,122812867.5,2950170,1382297.0,1.0369519496,US,Medicare Part D
Valchlor,Mechlorethamine HCl,Overall,13320554.44,134760.0,1754,487.0,98.846500742,US,Medicare Part D
Valcyte,Valganciclovir HCl,Overall,317770.96,4614.0,72,33.0,76.252289299,US,Medicare Part D
Valganciclovir HCl,Valganciclovir HCl,Overall,42935396.18,6230676.0,104812,31283.0,6.8789269722,US,Medicare Part D
Valium,Diazepam,Overall,4738109.24,563134.0,8019,1596.0,8.3224745225,US,Medicare Part D
Valproate Sodium,Valproic Acid (As Sodium Salt),Overall,38056.62,25116.5,354,45.0,1.3614697908,US,Medicare Part D
Valproic Acid,Valproic Acid,Overall,5614210.6,14765060.857,107786,20614.0,0.3801017657,US,Medicare Part D
Valproic Acid,Valproic Acid (As Sodium Salt),Overall,9005500.79,148262445.92,247149,36156.0,0.060747542,US,Medicare Part D
Valsartan,Valsartan,Overall,147687750.38,314714002.5,3940281,1011848.0,0.4707209763,US,Medicare Part D
Valsartan-Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,Overall,87278132.43,126875103.92,1613243,422476.0,0.6897725076,US,Medicare Part D
Valtoco,Diazepam,Overall,17228354.61,48946.0,15115,6956.0,351.93864706,US,Medicare Part D
Valtrex,Valacyclovir HCl,Overall,4857101.94,272966.0,4275,1195.0,18.370033729,US,Medicare Part D
Vancocin HCl,Vancomycin HCl,Overall,532512.52,3828.0,37,24.0,85.883851294,US,Medicare Part D
Vancomycin,Vancomycin HCl In 5 % Dextrose,Overall,30390.84,340050.0,621,207.0,0.0893716806,US,Medicare Part D
Vancomycin HCl,Vancomycin HCl In 5 % Dextrose,Overall,159446.45,1110950.0,1208,414.0,0.1435226158,US,Medicare Part D
Vancomycin HCl,Vancomycin/Water For Inj (PEG),Overall,1267768.78,14997344.001,16260,4186.0,0.0858673184,US,Medicare Part D
Vancomycin HCl*,Vancomycin HCl,Overall,66162664.24,26737168.228,367735,161077.0,3.8074266404,US,Medicare Part D
Vancomycin HCl-0.9% NaCl,Vancomycin/0.9 % Sod Chloride,Overall,550164.49,4591316.0,3688,1141.0,0.1146360507,US,Medicare Part D
Vancomycin HCl-D5W,Vancomycin HCl In 5 % Dextrose,Overall,8267.85,92800.0,288,90.0,0.0890932112,US,Medicare Part D
Vandazole,Metronidazole,Overall,269455.51,268380.0,3617,2995.0,1.0040074149,US,Medicare Part D
Vanflyta,Quizartinib Dihydrochloride,Overall,1145286.06,1960.0,61,24.0,584.11838311,US,Medicare Part D
Vanishpoint,"Syringe And Needle,Insulin,1ml",Overall,7554.15,8579.0,113,47.0,0.8805396899,US,Medicare Part D
Vanishpoint,"Syringe-Needle,Insulin,0.5 Ml",Overall,3070.06,3770.0,50,12.0,0.8143395225,US,Medicare Part D
